runname	sdlen	sim	chunklen	strand	id	tp	tn
run_32768_512_0.95_+	32768	0.95	512	+	0.99757	0.9963	0.99999
run_65536_512_0.95_+	65536	0.95	512	+	0.99875	0.99762	1
run_64_1024_0.95_+	64	0.95	1024	+	0.89851	0.07026	0.99977
run_128_1024_0.95_+	128	0.95	1024	+	0.91331	0.54174	0.99837
run_256_1024_0.95_+	256	0.95	1024	+	0.88979	0.62374	0.99841
run_512_1024_0.95_+	512	0.95	1024	+	0.86938	0.67775	0.99941
run_1024_1024_0.95_+	1024	0.95	1024	+	0.64591	0.94399	0.34759
run_2048_1024_0.95_+	2048	0.95	1024	+	0.9729	0.95237	0.99962
run_4096_1024_0.95_+	4096	0.95	1024	+	0.99577	0.99336	0.99949
run_8192_1024_0.95_+	8192	0.95	1024	+	0.99711	0.99555	0.99969
run_16384_1024_0.95_+	16384	0.95	1024	+	0.99773	0.9962	0.99993
run_32768_1024_0.95_+	32768	0.95	1024	+	0.99825	0.99733	0.99999
run_65536_1024_0.95_+	65536	0.95	1024	+	0.99936	0.99879	1
run_64_2048_0.95_+	64	0.95	2048	+	0.896	0.04654	0.99986
run_128_2048_0.95_+	128	0.95	2048	+	0.87882	0.35404	0.99895
run_256_2048_0.95_+	256	0.95	2048	+	0.8402	0.45155	0.99886
run_512_2048_0.95_+	512	0.95	2048	+	0.82732	0.57362	0.99947
run_1024_2048_0.95_+	1024	0.95	2048	+	0.85805	0.71674	0.99946
run_2048_2048_0.95_+	2048	0.95	2048	+	0.90529	0.8328	0.99964
run_4096_2048_0.95_+	4096	0.95	2048	+	0.96896	0.9491	0.99956
run_8192_2048_0.95_+	8192	0.95	2048	+	0.99504	0.9922	0.99972
run_16384_2048_0.95_+	16384	0.95	2048	+	0.99877	0.99799	0.99989
run_32768_2048_0.95_+	32768	0.95	2048	+	0.99911	0.99865	0.99997
run_65536_2048_0.95_+	65536	0.95	2048	+	0.99962	0.99928	0.99999
run_64_4096_0.95_+	64	0.95	4096	+	0.89335	0.02148	0.99994
run_128_4096_0.95_+	128	0.95	4096	+	0.84633	0.17737	0.99946
run_256_4096_0.95_+	256	0.95	4096	+	0.77518	0.22594	0.9994
run_512_4096_0.95_+	512	0.95	4096	+	0.71445	0.294	0.99974
run_1024_4096_0.95_+	1024	0.95	4096	+	0.75822	0.51703	0.99959
run_2048_4096_0.95_+	2048	0.95	4096	+	0.81041	0.66496	0.99973
run_4096_4096_0.95_+	4096	0.95	4096	+	0.89855	0.83295	0.9996
run_8192_4096_0.95_+	8192	0.95	4096	+	0.96474	0.94354	0.99972
run_16384_4096_0.95_+	16384	0.95	4096	+	0.99473	0.99115	0.99989
run_32768_4096_0.95_+	32768	0.95	4096	+	0.99949	0.99924	0.99996
run_65536_4096_0.95_+	65536	0.95	4096	+	0.99978	0.99959	0.99999
run_64_64_0.90_+	64	0.9	64	+	0.89114	0.00079	0.99999
run_128_64_0.90_+	128	0.9	64	+	0.81887	0.0277	1
run_256_64_0.90_+	256	0.9	64	+	0.71552	0.01877	0.99999
run_512_64_0.90_+	512	0.9	64	+	0.60212	0.01581	1
run_1024_64_0.90_+	1024	0.9	64	+	0.50656	0.01359	0.99999
run_2048_64_0.90_+	2048	0.9	64	+	0.45119	0.02962	1
run_4096_64_0.90_+	4096	0.9	64	+	0.41738	0.0392	1
run_8192_64_0.90_+	8192	0.9	64	+	0.39783	0.03298	1
run_16384_64_0.90_+	16384	0.9	64	+	0.42742	0.02935	1
run_32768_64_0.90_+	32768	0.9	64	+	0.36529	0.0316	1
run_65536_64_0.90_+	65536	0.9	64	+	0.48965	0.02666	1
run_64_128_0.90_+	64	0.9	128	+	0.89118	0.00119	0.99999
run_128_128_0.90_+	128	0.9	128	+	0.83253	0.10141	0.99991
run_256_128_0.90_+	256	0.9	128	+	0.73665	0.09208	0.99981
run_512_128_0.90_+	512	0.9	128	+	0.6634	0.16755	0.99989
run_1024_128_0.90_+	1024	0.9	128	+	0.55881	0.11809	0.99994
run_2048_128_0.90_+	2048	0.9	128	+	0.54637	0.19793	0.99996
run_4096_128_0.90_+	4096	0.9	128	+	0.52717	0.22026	0.99999
run_8192_128_0.90_+	8192	0.9	128	+	0.5262	0.23913	1
run_16384_128_0.90_+	16384	0.9	128	+	0.54397	0.22693	1
run_32768_128_0.90_+	32768	0.9	128	+	0.49526	0.22991	0.99999
run_65536_128_0.90_+	65536	0.9	128	+	0.59535	0.22825	1
run_64_256_0.90_+	64	0.9	256	+	0.89118	0.00119	0.99999
run_128_256_0.90_+	128	0.9	256	+	0.83991	0.14132	0.99985
run_256_256_0.90_+	256	0.9	256	+	0.79185	0.2827	0.99972
run_512_256_0.90_+	512	0.9	256	+	0.82383	0.56473	0.99966
run_1024_256_0.90_+	1024	0.9	256	+	0.70802	0.41644	0.99987
run_2048_256_0.90_+	2048	0.9	256	+	0.76724	0.58863	0.99976
run_4096_256_0.90_+	4096	0.9	256	+	0.75796	0.60093	0.99987
run_8192_256_0.90_+	8192	0.9	256	+	0.79294	0.66753	0.99993
run_16384_256_0.90_+	16384	0.9	256	+	0.80531	0.66996	1
run_32768_256_0.90_+	32768	0.9	256	+	0.77488	0.65653	0.99999
run_65536_256_0.90_+	65536	0.9	256	+	0.82313	0.66268	1
run_64_512_0.90_+	64	0.9	512	+	0.89119	0.00119	0.99999
run_128_512_0.90_+	128	0.9	512	+	0.83632	0.12202	0.99983
run_256_512_0.90_+	256	0.9	512	+	0.80125	0.31543	0.99957
run_512_512_0.90_+	512	0.9	512	+	0.86817	0.67461	0.9995
run_1024_512_0.90_+	1024	0.9	512	+	0.85188	0.70407	0.99982
run_2048_512_0.90_+	2048	0.9	512	+	0.93447	0.88439	0.99965
run_4096_512_0.90_+	4096	0.9	512	+	0.94667	0.91222	0.99973
run_8192_512_0.90_+	8192	0.9	512	+	0.96491	0.94374	0.99984
run_16384_512_0.90_+	16384	0.9	512	+	0.96675	0.94365	0.99998
run_32768_512_0.90_+	32768	0.9	512	+	0.96909	0.95283	0.99999
run_65536_512_0.90_+	65536	0.9	512	+	0.9761	0.95443	1
